timestamp,file,line,resp,mse,anomaly_type,suggested_fix
2025-11-24T12:10:04,moduleC.py,104,220.3,72174.85932704159,DB ISSUE,Inspect DB performance / queries / connections.,Database related
2025-11-24T12:10:05,moduleC.py,105,340.1,81100.61872887892,HIGH RESPONSE,Possible heavy computation or I/O blocking.,2025-11-24T12:10:05 file=moduleC.py:105 resp=340.1 msg='CACHE MISS'
2025-11-24T12:10:01,moduleA.py,101,85.4,81448.30386059663,MEDIUM SPIKE,"Possible slow code path, profile and optimize.",2025-11-24T12:10:01 file=moduleA.py:101 resp=85.4 msg='SLOW RESPONSE'
2025-11-24T12:10:02,moduleA.py,102,92.7,81840.51353285693,MEDIUM SPIKE,"Possible slow code path, profile and optimize.",2025-11-24T12:10:02 file=moduleA.py:102 resp=92.7 msg='SLOW QUERY'
2025-11-24T12:10:03,moduleB.py,103,110.9,82492.30600472885,HIGH RESPONSE,Possible heavy computation or I/O blocking.,2025-11-24T12:10:03 file=moduleB.py:103 resp=110.9 msg='DELAY DETECTED'
2025-11-24T12:10:01,moduleA.py,101,85.4,82784.72292413692,MEDIUM SPIKE,"Possible slow code path, profile and optimize.",2025-11-24T12:10:01 file=moduleA.py:101 resp=85.4 msg='SLOW RESPONSE'
2025-11-24T12:10:02,moduleA.py,102,92.7,83216.77566105532,MEDIUM SPIKE,"Possible slow code path, profile and optimize.",2025-11-24T12:10:02 file=moduleA.py:102 resp=92.7 msg='SLOW QUERY'
2025-11-24T12:10:03,moduleB.py,103,110.9,83911.14344602349,HIGH RESPONSE,Possible heavy computation or I/O blocking.,2025-11-24T12:10:03 file=moduleB.py:103 resp=110.9 msg='DELAY DETECTED'
2025-11-23T12:00:50,module2.py,59,52.3,68545.4420285896,MEDIUM SPIKE,"Possible slow code path, profile and optimize.",2025-11-23T12:00:50 file=module2.py:59 resp=52.3 msg='OK'
2025-11-23T12:00:51,module1.py,60,57.1,68576.52364587062,MEDIUM SPIKE,"Possible slow code path, profile and optimize.",2025-11-23T12:00:51 file=module1.py:60 resp=57.1 msg='OK'
2025-11-23T12:00:52,module2.py,61,55.3,68611.4867042268,MEDIUM SPIKE,"Possible slow code path, profile and optimize.",2025-11-23T12:00:52 file=module2.py:61 resp=55.3 msg='OK'
2025-11-23T12:00:53,module1.py,62,58.6,68667.73898829814,MEDIUM SPIKE,"Possible slow code path, profile and optimize.",2025-11-23T12:00:53 file=module1.py:62 resp=58.6 msg='OK'
2025-11-23T12:00:54,module2.py,63,51.9,68682.94281088146,MEDIUM SPIKE,"Possible slow code path, profile and optimize.",2025-11-23T12:00:54 file=module2.py:63 resp=51.9 msg='OK'
2025-11-23T12:00:55,module1.py,64,49.3,68636.47305574748,ANOMALY,Investigate (no clear reason).,2025-11-23T12:00:55 file=module1.py:64 resp=49.3 msg='OK'
2025-11-23T12:00:56,module2.py,65,53.6,68629.66018014813,MEDIUM SPIKE,"Possible slow code path, profile and optimize.",2025-11-23T12:00:56 file=module2.py:65 resp=53.6 msg='OK'
2025-11-23T12:00:57,module1.py,66,55.8,68611.56696534497,MEDIUM SPIKE,"Possible slow code path, profile and optimize.",2025-11-23T12:00:57 file=module1.py:66 resp=55.8 msg='OK'
2025-11-23T12:00:58,module2.py,67,58.2,68596.70426974424,MEDIUM SPIKE,"Possible slow code path, profile and optimize.",2025-11-23T12:00:58 file=module2.py:67 resp=58.2 msg='OK'
2025-11-23T12:00:59,module1.py,68,52.1,68600.47952976845,MEDIUM SPIKE,"Possible slow code path, profile and optimize.",2025-11-23T12:00:59 file=module1.py:68 resp=52.1 msg='OK'
2025-11-23T12:01:00,module2.py,69,57.9,68635.07834010593,MEDIUM SPIKE,"Possible slow code path, profile and optimize.",2025-11-23T12:01:00 file=module2.py:69 resp=57.9 msg='OK'
2025-11-24T12:10:04,moduleC.py,104,220.3,72174.85932704159,DB ISSUE,Inspect DB performance / queries / connections.,Database related
2025-11-24T12:10:05,moduleC.py,105,340.1,81100.61872887892,HIGH RESPONSE,Possible heavy computation or I/O blocking.,2025-11-24T12:10:05 file=moduleC.py:105 resp=340.1 msg='CACHE MISS'
2025-11-24T12:10:01,moduleA.py,101,85.4,81448.30386059663,MEDIUM SPIKE,"Possible slow code path, profile and optimize.",2025-11-24T12:10:01 file=moduleA.py:101 resp=85.4 msg='SLOW RESPONSE'
2025-11-24T12:10:02,moduleA.py,102,92.7,81840.51353285693,MEDIUM SPIKE,"Possible slow code path, profile and optimize.",2025-11-24T12:10:02 file=moduleA.py:102 resp=92.7 msg='SLOW QUERY'
2025-11-24T12:10:03,moduleB.py,103,110.9,82492.30600472885,HIGH RESPONSE,Possible heavy computation or I/O blocking.,2025-11-24T12:10:03 file=moduleB.py:103 resp=110.9 msg='DELAY DETECTED'
2025-11-24T12:10:01,moduleA.py,101,85.4,82784.72292413692,MEDIUM SPIKE,"Possible slow code path, profile and optimize.",2025-11-24T12:10:01 file=moduleA.py:101 resp=85.4 msg='SLOW RESPONSE'
2025-11-24T12:10:02,moduleA.py,102,92.7,83216.77566105532,MEDIUM SPIKE,"Possible slow code path, profile and optimize.",2025-11-24T12:10:02 file=moduleA.py:102 resp=92.7 msg='SLOW QUERY'
2025-11-24T12:10:03,moduleB.py,103,110.9,83911.14344602349,HIGH RESPONSE,Possible heavy computation or I/O blocking.,2025-11-24T12:10:03 file=moduleB.py:103 resp=110.9 msg='DELAY DETECTED'
2025-11-23T12:00:50,module2.py,59,52.3,68545.4420285896,MEDIUM SPIKE,"Possible slow code path, profile and optimize.",2025-11-23T12:00:50 file=module2.py:59 resp=52.3 msg='OK'
2025-11-23T12:00:51,module1.py,60,57.1,68576.52364587062,MEDIUM SPIKE,"Possible slow code path, profile and optimize.",2025-11-23T12:00:51 file=module1.py:60 resp=57.1 msg='OK'
2025-11-23T12:00:52,module2.py,61,55.3,68611.4867042268,MEDIUM SPIKE,"Possible slow code path, profile and optimize.",2025-11-23T12:00:52 file=module2.py:61 resp=55.3 msg='OK'
2025-11-23T12:00:53,module1.py,62,58.6,68667.73898829814,MEDIUM SPIKE,"Possible slow code path, profile and optimize.",2025-11-23T12:00:53 file=module1.py:62 resp=58.6 msg='OK'
2025-11-23T12:00:54,module2.py,63,51.9,68682.94281088146,MEDIUM SPIKE,"Possible slow code path, profile and optimize.",2025-11-23T12:00:54 file=module2.py:63 resp=51.9 msg='OK'
2025-11-23T12:00:55,module1.py,64,49.3,68636.47305574748,ANOMALY,Investigate (no clear reason).,2025-11-23T12:00:55 file=module1.py:64 resp=49.3 msg='OK'
2025-11-23T12:00:56,module2.py,65,53.6,68629.66018014813,MEDIUM SPIKE,"Possible slow code path, profile and optimize.",2025-11-23T12:00:56 file=module2.py:65 resp=53.6 msg='OK'
2025-11-23T12:00:57,module1.py,66,55.8,68611.56696534497,MEDIUM SPIKE,"Possible slow code path, profile and optimize.",2025-11-23T12:00:57 file=module1.py:66 resp=55.8 msg='OK'
2025-11-23T12:00:58,module2.py,67,58.2,68596.70426974424,MEDIUM SPIKE,"Possible slow code path, profile and optimize.",2025-11-23T12:00:58 file=module2.py:67 resp=58.2 msg='OK'
2025-11-23T12:00:59,module1.py,68,52.1,68600.47952976845,MEDIUM SPIKE,"Possible slow code path, profile and optimize.",2025-11-23T12:00:59 file=module1.py:68 resp=52.1 msg='OK'
2025-11-23T12:01:00,module2.py,69,57.9,68635.07834010593,MEDIUM SPIKE,"Possible slow code path, profile and optimize.",2025-11-23T12:01:00 file=module2.py:69 resp=57.9 msg='OK'
2025-11-24T12:10:04,moduleC.py,104,220.3,72174.85932704159,DB ISSUE,Inspect DB performance / queries / connections.,Database related
2025-11-24T12:10:05,moduleC.py,105,340.1,81100.61872887892,HIGH RESPONSE,Possible heavy computation or I/O blocking.,2025-11-24T12:10:05 file=moduleC.py:105 resp=340.1 msg='CACHE MISS'
2025-11-24T12:10:01,moduleA.py,101,85.4,81448.30386059663,MEDIUM SPIKE,"Possible slow code path, profile and optimize.",2025-11-24T12:10:01 file=moduleA.py:101 resp=85.4 msg='SLOW RESPONSE'
2025-11-24T12:10:02,moduleA.py,102,92.7,81840.51353285693,MEDIUM SPIKE,"Possible slow code path, profile and optimize.",2025-11-24T12:10:02 file=moduleA.py:102 resp=92.7 msg='SLOW QUERY'
2025-11-24T12:10:03,moduleB.py,103,110.9,82492.30600472885,HIGH RESPONSE,Possible heavy computation or I/O blocking.,2025-11-24T12:10:03 file=moduleB.py:103 resp=110.9 msg='DELAY DETECTED'
2025-11-24T12:10:01,moduleA.py,101,85.4,82784.72292413692,MEDIUM SPIKE,"Possible slow code path, profile and optimize.",2025-11-24T12:10:01 file=moduleA.py:101 resp=85.4 msg='SLOW RESPONSE'
2025-11-24T12:10:02,moduleA.py,102,92.7,83216.77566105532,MEDIUM SPIKE,"Possible slow code path, profile and optimize.",2025-11-24T12:10:02 file=moduleA.py:102 resp=92.7 msg='SLOW QUERY'
2025-11-24T12:10:03,moduleB.py,103,110.9,83911.14344602349,HIGH RESPONSE,Possible heavy computation or I/O blocking.,2025-11-24T12:10:03 file=moduleB.py:103 resp=110.9 msg='DELAY DETECTED'
2025-11-23T12:00:50,module2.py,59,52.3,68545.4420285896,MEDIUM SPIKE,"Possible slow code path, profile and optimize.",2025-11-23T12:00:50 file=module2.py:59 resp=52.3 msg='OK'
2025-11-23T12:00:51,module1.py,60,57.1,68576.52364587062,MEDIUM SPIKE,"Possible slow code path, profile and optimize.",2025-11-23T12:00:51 file=module1.py:60 resp=57.1 msg='OK'
2025-11-23T12:00:52,module2.py,61,55.3,68611.4867042268,MEDIUM SPIKE,"Possible slow code path, profile and optimize.",2025-11-23T12:00:52 file=module2.py:61 resp=55.3 msg='OK'
2025-11-23T12:00:53,module1.py,62,58.6,68667.73898829814,MEDIUM SPIKE,"Possible slow code path, profile and optimize.",2025-11-23T12:00:53 file=module1.py:62 resp=58.6 msg='OK'
2025-11-23T12:00:54,module2.py,63,51.9,68682.94281088146,MEDIUM SPIKE,"Possible slow code path, profile and optimize.",2025-11-23T12:00:54 file=module2.py:63 resp=51.9 msg='OK'
2025-11-23T12:00:55,module1.py,64,49.3,68636.47305574748,ANOMALY,Investigate (no clear reason).,2025-11-23T12:00:55 file=module1.py:64 resp=49.3 msg='OK'
2025-11-23T12:00:56,module2.py,65,53.6,68629.66018014813,MEDIUM SPIKE,"Possible slow code path, profile and optimize.",2025-11-23T12:00:56 file=module2.py:65 resp=53.6 msg='OK'
2025-11-23T12:00:57,module1.py,66,55.8,68611.56696534497,MEDIUM SPIKE,"Possible slow code path, profile and optimize.",2025-11-23T12:00:57 file=module1.py:66 resp=55.8 msg='OK'
2025-11-23T12:00:58,module2.py,67,58.2,68596.70426974424,MEDIUM SPIKE,"Possible slow code path, profile and optimize.",2025-11-23T12:00:58 file=module2.py:67 resp=58.2 msg='OK'
2025-11-23T12:00:59,module1.py,68,52.1,68600.47952976845,MEDIUM SPIKE,"Possible slow code path, profile and optimize.",2025-11-23T12:00:59 file=module1.py:68 resp=52.1 msg='OK'
2025-11-23T12:01:00,module2.py,69,57.9,68635.07834010593,MEDIUM SPIKE,"Possible slow code path, profile and optimize.",2025-11-23T12:01:00 file=module2.py:69 resp=57.9 msg='OK'
2025-11-24T12:10:04,moduleC.py,104,220.3,72174.85932704159,DB ISSUE,Inspect DB performance / queries / connections.,Database related
2025-11-24T12:10:05,moduleC.py,105,340.1,81100.61872887892,HIGH RESPONSE,Possible heavy computation or I/O blocking.,2025-11-24T12:10:05 file=moduleC.py:105 resp=340.1 msg='CACHE MISS'
2025-11-24T12:10:01,moduleA.py,101,85.4,81448.30386059663,MEDIUM SPIKE,"Possible slow code path, profile and optimize.",2025-11-24T12:10:01 file=moduleA.py:101 resp=85.4 msg='SLOW RESPONSE'
2025-11-24T12:10:02,moduleA.py,102,92.7,81840.51353285693,MEDIUM SPIKE,"Possible slow code path, profile and optimize.",2025-11-24T12:10:02 file=moduleA.py:102 resp=92.7 msg='SLOW QUERY'
2025-11-24T12:10:03,moduleB.py,103,110.9,82492.30600472885,HIGH RESPONSE,Possible heavy computation or I/O blocking.,2025-11-24T12:10:03 file=moduleB.py:103 resp=110.9 msg='DELAY DETECTED'
2025-11-24T12:10:01,moduleA.py,101,85.4,82784.72292413692,MEDIUM SPIKE,"Possible slow code path, profile and optimize.",2025-11-24T12:10:01 file=moduleA.py:101 resp=85.4 msg='SLOW RESPONSE'
2025-11-24T12:10:02,moduleA.py,102,92.7,83216.77566105532,MEDIUM SPIKE,"Possible slow code path, profile and optimize.",2025-11-24T12:10:02 file=moduleA.py:102 resp=92.7 msg='SLOW QUERY'
2025-11-24T12:10:03,moduleB.py,103,110.9,83911.14344602349,HIGH RESPONSE,Possible heavy computation or I/O blocking.,2025-11-24T12:10:03 file=moduleB.py:103 resp=110.9 msg='DELAY DETECTED'
2025-11-23T12:00:50,module2.py,59,52.3,68545.4420285896,MEDIUM SPIKE,"Possible slow code path, profile and optimize.",2025-11-23T12:00:50 file=module2.py:59 resp=52.3 msg='OK'
2025-11-23T12:00:51,module1.py,60,57.1,68576.52364587062,MEDIUM SPIKE,"Possible slow code path, profile and optimize.",2025-11-23T12:00:51 file=module1.py:60 resp=57.1 msg='OK'
2025-11-23T12:00:52,module2.py,61,55.3,68611.4867042268,MEDIUM SPIKE,"Possible slow code path, profile and optimize.",2025-11-23T12:00:52 file=module2.py:61 resp=55.3 msg='OK'
2025-11-23T12:00:53,module1.py,62,58.6,68667.73898829814,MEDIUM SPIKE,"Possible slow code path, profile and optimize.",2025-11-23T12:00:53 file=module1.py:62 resp=58.6 msg='OK'
2025-11-23T12:00:54,module2.py,63,51.9,68682.94281088146,MEDIUM SPIKE,"Possible slow code path, profile and optimize.",2025-11-23T12:00:54 file=module2.py:63 resp=51.9 msg='OK'
2025-11-23T12:00:55,module1.py,64,49.3,68636.47305574748,ANOMALY,Investigate (no clear reason).,2025-11-23T12:00:55 file=module1.py:64 resp=49.3 msg='OK'
2025-11-23T12:00:56,module2.py,65,53.6,68629.66018014813,MEDIUM SPIKE,"Possible slow code path, profile and optimize.",2025-11-23T12:00:56 file=module2.py:65 resp=53.6 msg='OK'
2025-11-23T12:00:57,module1.py,66,55.8,68611.56696534497,MEDIUM SPIKE,"Possible slow code path, profile and optimize.",2025-11-23T12:00:57 file=module1.py:66 resp=55.8 msg='OK'
2025-11-23T12:00:58,module2.py,67,58.2,68596.70426974424,MEDIUM SPIKE,"Possible slow code path, profile and optimize.",2025-11-23T12:00:58 file=module2.py:67 resp=58.2 msg='OK'
2025-11-23T12:00:59,module1.py,68,52.1,68600.47952976845,MEDIUM SPIKE,"Possible slow code path, profile and optimize.",2025-11-23T12:00:59 file=module1.py:68 resp=52.1 msg='OK'
2025-11-23T12:01:00,module2.py,69,57.9,68635.07834010593,MEDIUM SPIKE,"Possible slow code path, profile and optimize.",2025-11-23T12:01:00 file=module2.py:69 resp=57.9 msg='OK'
2025-11-24T12:10:04,moduleC.py,104,220.3,72174.85932704159,DB ISSUE,Inspect DB performance / queries / connections.,Database related
2025-11-24T12:10:05,moduleC.py,105,340.1,81100.61872887892,HIGH RESPONSE,Possible heavy computation or I/O blocking.,2025-11-24T12:10:05 file=moduleC.py:105 resp=340.1 msg='CACHE MISS'
2025-11-24T12:10:01,moduleA.py,101,85.4,81448.30386059663,MEDIUM SPIKE,"Possible slow code path, profile and optimize.",2025-11-24T12:10:01 file=moduleA.py:101 resp=85.4 msg='SLOW RESPONSE'
2025-11-24T12:10:02,moduleA.py,102,92.7,81840.51353285693,MEDIUM SPIKE,"Possible slow code path, profile and optimize.",2025-11-24T12:10:02 file=moduleA.py:102 resp=92.7 msg='SLOW QUERY'
2025-11-24T12:10:03,moduleB.py,103,110.9,82492.30600472885,HIGH RESPONSE,Possible heavy computation or I/O blocking.,2025-11-24T12:10:03 file=moduleB.py:103 resp=110.9 msg='DELAY DETECTED'
2025-11-24T12:10:01,moduleA.py,101,85.4,82784.72292413692,MEDIUM SPIKE,"Possible slow code path, profile and optimize.",2025-11-24T12:10:01 file=moduleA.py:101 resp=85.4 msg='SLOW RESPONSE'
2025-11-24T12:10:02,moduleA.py,102,92.7,83216.77566105532,MEDIUM SPIKE,"Possible slow code path, profile and optimize.",2025-11-24T12:10:02 file=moduleA.py:102 resp=92.7 msg='SLOW QUERY'
2025-11-24T12:10:03,moduleB.py,103,110.9,83911.14344602349,HIGH RESPONSE,Possible heavy computation or I/O blocking.,2025-11-24T12:10:03 file=moduleB.py:103 resp=110.9 msg='DELAY DETECTED'
2025-11-23T12:00:50,module2.py,59,52.3,68545.4420285896,MEDIUM SPIKE,"Possible slow code path, profile and optimize.",2025-11-23T12:00:50 file=module2.py:59 resp=52.3 msg='OK'
2025-11-23T12:00:51,module1.py,60,57.1,68576.52364587062,MEDIUM SPIKE,"Possible slow code path, profile and optimize.",2025-11-23T12:00:51 file=module1.py:60 resp=57.1 msg='OK'
2025-11-23T12:00:52,module2.py,61,55.3,68611.4867042268,MEDIUM SPIKE,"Possible slow code path, profile and optimize.",2025-11-23T12:00:52 file=module2.py:61 resp=55.3 msg='OK'
2025-11-23T12:00:53,module1.py,62,58.6,68667.73898829814,MEDIUM SPIKE,"Possible slow code path, profile and optimize.",2025-11-23T12:00:53 file=module1.py:62 resp=58.6 msg='OK'
2025-11-23T12:00:54,module2.py,63,51.9,68682.94281088146,MEDIUM SPIKE,"Possible slow code path, profile and optimize.",2025-11-23T12:00:54 file=module2.py:63 resp=51.9 msg='OK'
2025-11-23T12:00:55,module1.py,64,49.3,68636.47305574748,ANOMALY,Investigate (no clear reason).,2025-11-23T12:00:55 file=module1.py:64 resp=49.3 msg='OK'
2025-11-23T12:00:56,module2.py,65,53.6,68629.66018014813,MEDIUM SPIKE,"Possible slow code path, profile and optimize.",2025-11-23T12:00:56 file=module2.py:65 resp=53.6 msg='OK'
2025-11-23T12:00:57,module1.py,66,55.8,68611.56696534497,MEDIUM SPIKE,"Possible slow code path, profile and optimize.",2025-11-23T12:00:57 file=module1.py:66 resp=55.8 msg='OK'
2025-11-23T12:00:58,module2.py,67,58.2,68596.70426974424,MEDIUM SPIKE,"Possible slow code path, profile and optimize.",2025-11-23T12:00:58 file=module2.py:67 resp=58.2 msg='OK'
2025-11-23T12:00:59,module1.py,68,52.1,68600.47952976845,MEDIUM SPIKE,"Possible slow code path, profile and optimize.",2025-11-23T12:00:59 file=module1.py:68 resp=52.1 msg='OK'
2025-11-23T12:01:00,module2.py,69,57.9,68635.07834010593,MEDIUM SPIKE,"Possible slow code path, profile and optimize.",2025-11-23T12:01:00 file=module2.py:69 resp=57.9 msg='OK'
2025-11-24T12:10:04,moduleC.py,104,220.3,72174.85932704159,DB ISSUE,Inspect DB performance / queries / connections.,Database related
2025-11-24T12:10:05,moduleC.py,105,340.1,81100.61872887892,HIGH RESPONSE,Possible heavy computation or I/O blocking.,2025-11-24T12:10:05 file=moduleC.py:105 resp=340.1 msg='CACHE MISS'
2025-11-24T12:10:01,moduleA.py,101,85.4,81448.30386059663,MEDIUM SPIKE,"Possible slow code path, profile and optimize.",2025-11-24T12:10:01 file=moduleA.py:101 resp=85.4 msg='SLOW RESPONSE'
2025-11-24T12:10:02,moduleA.py,102,92.7,81840.51353285693,MEDIUM SPIKE,"Possible slow code path, profile and optimize.",2025-11-24T12:10:02 file=moduleA.py:102 resp=92.7 msg='SLOW QUERY'
2025-11-24T12:10:03,moduleB.py,103,110.9,82492.30600472885,HIGH RESPONSE,Possible heavy computation or I/O blocking.,2025-11-24T12:10:03 file=moduleB.py:103 resp=110.9 msg='DELAY DETECTED'
2025-11-24T12:10:01,moduleA.py,101,85.4,82784.72292413692,MEDIUM SPIKE,"Possible slow code path, profile and optimize.",2025-11-24T12:10:01 file=moduleA.py:101 resp=85.4 msg='SLOW RESPONSE'
2025-11-24T12:10:02,moduleA.py,102,92.7,83216.77566105532,MEDIUM SPIKE,"Possible slow code path, profile and optimize.",2025-11-24T12:10:02 file=moduleA.py:102 resp=92.7 msg='SLOW QUERY'
2025-11-24T12:10:03,moduleB.py,103,110.9,83911.14344602349,HIGH RESPONSE,Possible heavy computation or I/O blocking.,2025-11-24T12:10:03 file=moduleB.py:103 resp=110.9 msg='DELAY DETECTED'
2025-11-23T12:00:50,module2.py,59,52.3,68545.4420285896,MEDIUM SPIKE,"Possible slow code path, profile and optimize.",2025-11-23T12:00:50 file=module2.py:59 resp=52.3 msg='OK'
2025-11-23T12:00:51,module1.py,60,57.1,68576.52364587062,MEDIUM SPIKE,"Possible slow code path, profile and optimize.",2025-11-23T12:00:51 file=module1.py:60 resp=57.1 msg='OK'
2025-11-23T12:00:52,module2.py,61,55.3,68611.4867042268,MEDIUM SPIKE,"Possible slow code path, profile and optimize.",2025-11-23T12:00:52 file=module2.py:61 resp=55.3 msg='OK'
2025-11-23T12:00:53,module1.py,62,58.6,68667.73898829814,MEDIUM SPIKE,"Possible slow code path, profile and optimize.",2025-11-23T12:00:53 file=module1.py:62 resp=58.6 msg='OK'
2025-11-23T12:00:54,module2.py,63,51.9,68682.94281088146,MEDIUM SPIKE,"Possible slow code path, profile and optimize.",2025-11-23T12:00:54 file=module2.py:63 resp=51.9 msg='OK'
2025-11-23T12:00:55,module1.py,64,49.3,68636.47305574748,ANOMALY,Investigate (no clear reason).,2025-11-23T12:00:55 file=module1.py:64 resp=49.3 msg='OK'
2025-11-23T12:00:56,module2.py,65,53.6,68629.66018014813,MEDIUM SPIKE,"Possible slow code path, profile and optimize.",2025-11-23T12:00:56 file=module2.py:65 resp=53.6 msg='OK'
2025-11-23T12:00:57,module1.py,66,55.8,68611.56696534497,MEDIUM SPIKE,"Possible slow code path, profile and optimize.",2025-11-23T12:00:57 file=module1.py:66 resp=55.8 msg='OK'
